inst	noh	mks	cst
ACAD	35.712	135.7	85961.5922
ACAD	23.0324	148.4	84588.2229
ACAD	34.3604	137.1	85805.0867
ACAD	11.6162	159.8	83454.0096
ACAD	22.2104	149.2	84510.2476
ACAD	39.8236	131.6	86445.8019
ACAD	43.3346	128.1	86859.0733
ACAD	12.7413	158.7	83585.1185
ACAD	27.8985	143.6	85066.0123
ACAD	47.8221	123.6	87340.3311
ACAD	4.0174	167.4	82721.4022
ACAD	11.0564	160.4	83419.9446
ACAD	49.2121	122.2	87530.7389
ACAD	50.1153	121.3	87622.8915
ACAD	50.6169	120.8	87680.0761
ACAD	20.5013	151.0	84324.644
ACAD	10.1227	161.3	83312.6934
ACAD	12.014	159.4	83496.177
ACAD	14.3986	157.1	83725.9515
ACAD	39.8476	131.6	86373.8078
ACAD	15.3232	156.1	83875.7898
ACAD	34.9797	136.5	85813.2492
ACAD	36.0405	135.4	85945.6257
ACAD	13.713	157.7	83690.154
ACAD	25.7273	145.7	84883.9499
ACAD	37.8139	133.6	86231.7813
ACAD	43.119	128.3	86843.9318
ACAD	36.544	134.9	86067.3393
ACAD	15.8114	155.6	83919.4283
ACAD	51.6052	119.9	87810.0828
ACAD	17.4254	154.0	84076.3849
ACAD	33.214	138.2	85661.9198
ACAD	42.6337	128.8	86760.7294
ACAD	41.9385	129.5	86656.6506
ACAD	48.6117	122.8	87449.1579
ACAD	5.0174	166.4	82809.7606
ACAD	50.9104	120.5	87721.9946
ACAD	7.0419	164.4	83007.8664
ACAD	50.4219	121.0	87653.8374
ACAD	10.324	161.1	83369.8932
ACAD	36.2146	135.2	85990.2484
ACAD	19.542	151.9	84258.417
ACAD	38.2558	133.2	86265.9994
ACAD	34.3637	137.1	85789.2762
ACAD	23.4512	148.0	84600.6662
ACAD	43.2783	128.2	86818.6828
ACAD	51.4302	120.0	87776.681
ACAD	20.2635	151.2	84325.7419
ACAD	6.6325	164.8	82980.426
ACAD	45.3171	126.1	87087.5581
ACAD	28.5487	142.9	85227.2733
ACAD	13.8582	157.6	83682.0587
ACAD	44.9432	126.5	87031.3664
ACAD	45.8292	125.6	87170.0242
ACAD	14.3137	157.1	83738.675
ACAD	11.8616	159.6	83491.8326
ACAD	25.8247	145.6	84908.3917
ACAD	28.9311	142.5	85238.1498
ACAD	9.8732	161.6	83292.058
ACAD	3.1481	168.3	82630.1091
ACAD	31.4206	140.0	85438.927
ACAD	32.1255	139.3	85520.8714
ACAD	45.6175	125.8	87090.6848
ACAD	13.9145	157.5	83706.3794
ACAD	35.2305	136.2	85840.6334
ACAD	14.4207	157.0	83745.6015
ACAD	13.1362	158.3	83621.6902
ACAD	47.5369	123.9	87311.8695
ACAD	15.0318	156.4	83812.2257
ACAD	9.1554	162.3	83214.7701
ACAD	10.7239	160.7	83395.9048
ACAD	45.3942	126.1	87055.3665
ACAD	8.2701	163.2	83131.1341
ACAD	42.3279	129.1	86705.6443
ACAD	16.8193	154.6	84009.7828
ACAD	36.1664	135.3	85992.1246
ACAD	49.5262	121.9	87541.453
ACAD	37.7706	133.7	86191.6802
ACAD	15.3471	156.1	83841.3753
ACAD	26.4286	145.0	84935.3539
ACAD	10.4158	161.0	83360.7826
ACAD	23.1304	148.3	84716.7777
ACAD	20.8468	150.6	84384.4583
ACAD	3.9342	167.5	82705.4253
ACAD	42.9253	128.5	86819.5733
ACAD	44.0136	127.4	86934.485
ACAD	24.8191	146.6	84819.4862
ACAD	13.8305	157.6	83727.3329
ACAD	18.5481	152.9	84154.36
ACAD	15.8119	155.6	83911.4446
ACAD	4.0152	167.4	82723.0647
ACAD	47.7209	123.7	87329.0311
ACAD	39.6179	131.8	86435.6476
ACAD	49.7215	121.7	87572.215
ACAD	32.6155	138.8	85626.2007
ACAD	8.4166	163.0	83165.871
ACAD	37.6224	133.8	86222.3178
ACAD	6.9338	164.5	82996.4604
ACAD	36.0186	135.4	86059.6046
ACAD	44.6571	126.8	86981.4132
ACAD	44.8234	126.6	86991.1491
ACAD	37.2154	134.2	86128.8582
ACAD	38.3323	133.1	86253.9653
ACAD	22.9119	148.5	84558.9519
ACAD	20.3675	151.1	84334.7449
ACAD	23.1084	148.4	84553.3992
ACAD	8.9111	162.5	83207.4314
ACAD	13.3563	158.1	83625.3311
ACAD	46.8176	124.6	87222.4795
ACAD	5.0153	166.4	82817.2581
ACAD	6.6827	164.8	82973.2001
ACAD	31.6219	139.8	85568.6543
ACAD	26.4255	145.0	84960.5843
ACAD	12.3106	159.1	83534.1677
ACAD	39.5548	131.9	86392.6587
