config	inst	time	count	best	spr	hv	gd	
nsga150k2x	I5	641564	88	0.0027	0.3736	0.5115	0.0025	
nsga150k2x	I5	642764	88	0.0164	0.4169	0.5125	0.0024	
nsga150k2x	I5	639238	88	0.0438	0.4358	0.5195	0.0013	
nsga150k2x	I5	640791	88	0.0192	0.4261	0.5100	0.0024	
nsga150k2x	I5	639386	88	0.0247	0.3882	0.5165	0.0017	
nsga150k2x	I5	642409	88	0.0356	0.4319	0.5165	0.0019	
nsga150k2x	I5	641760	88	0.0027	0.4168	0.5088	0.0025	
nsga150k2x	I5	640183	88	0.0301	0.4073	0.5166	0.0018	
nsga150k2x	I5	641697	88	0.0164	0.4659	0.5168	0.0017	
nsga150k2x	I5	641645	88	0.0055	0.4459	0.5097	0.0025	
nsga150k2x	I5	644863	88	0.0247	0.4659	0.5117	0.0021	
nsga150k2x	I5	640292	88	0.0219	0.4523	0.5139	0.0018	
nsga150k2x	I5	643828	88	0.0137	0.4756	0.5117	0.0021	
nsga150k2x	I5	642335	88	0.0110	0.4223	0.5086	0.0025	
nsga150k2x	I5	643236	88	0.0274	0.4370	0.5157	0.0021	
nsga150k2x	I5	640271	88	0.0219	0.4088	0.5151	0.0018	
nsga150k2x	I5	640604	88	0.0301	0.4326	0.5155	0.0021	
nsga150k2x	I5	641299	88	0.0164	0.4383	0.5153	0.0017	
nsga150k2x	I5	641409	88	0.0192	0.4011	0.5148	0.0020	
nsga150k2x	I5	642508	88	0.0110	0.4492	0.5144	0.0019	
nsga150k2x	I5	641973	88	0.0301	0.4156	0.5150	0.0021	
nsga150k2x	I5	640629	88	0.0164	0.4241	0.5141	0.0020	
nsga150k2x	I5	643533	88	0.0274	0.4198	0.5150	0.0019	
nsga150k2x	I5	642294	88	0.0055	0.3942	0.5081	0.0027	
nsga150k2x	I5	643080	88	0.0274	0.4925	0.5122	0.0030	
nsga150k2x	I5	643544	88	0.0082	0.3946	0.5101	0.0026	
nsga150k2x	I5	640878	88	0.0027	0.3953	0.5138	0.0019	
nsga150k2x	I5	642140	88	0.0164	0.4253	0.5156	0.0018	
nsga150k2x	I5	642634	88	0.0164	0.4691	0.5137	0.0021	
nsga150k2x	I5	643734	88	0.0219	0.4388	0.5130	0.0024	
nsga150k2x	I5	642114	88	0.0110	0.4574	0.5149	0.0017	
nsga150k2x	I5	637368	88	0.0219	0.3752	0.5134	0.0022	
nsga150k2x	I5	639653	88	0.0247	0.3990	0.5155	0.0019	
nsga150k4x	I0	656355	137	0.0051	0.6016	0.5073	0.0035	
nsga150k4x	I0	630392	128	0.0152	0.5893	0.5136	0.0030	
nsga150k4x	I0	627454	124	0.0253	0.6679	0.5169	0.0036	
nsga150k4x	I0	629686	124	0.0101	0.6687	0.5120	0.0034	
nsga150k4x	I0	625908	111	0.0253	0.6311	0.5198	0.0030	
nsga150k4x	I0	627467	119	0.0354	0.6588	0.5214	0.0029	
nsga150k4x	I0	630943	113	0.0152	0.6851	0.5110	0.0051	
nsga150k4x	I0	629424	125	0.0253	0.6293	0.5172	0.0036	
nsga150k4x	I0	628364	118	0.0354	0.5797	0.5169	0.0035	
nsga150k4x	I0	628665	120	0.0253	0.5598	0.5159	0.0030	
nsga150k4x	I0	629344	110	0.0202	0.6874	0.5179	0.0029	
nsga150k4x	I0	627008	119	0.0101	0.5722	0.5114	0.0034	
nsga150k4x	I0	630706	117	0.0101	0.6509	0.5131	0.0028	
nsga150k4x	I0	626535	115	0.0152	0.5843	0.5226	0.0029	
nsga150k4x	I0	626524	118	0.0303	0.6262	0.5193	0.0028	
nsga150k4x	I0	628736	113	0.0202	0.6963	0.5118	0.0039	
nsga150k4x	I0	627746	108	0.0354	0.6234	0.5176	0.0032	
nsga150k4x	I0	626885	117	0.0101	0.6438	0.5126	0.0038	
nsga150k4x	I0	627270	120	0.0000	0.6387	0.5097	0.0037	
nsga150k4x	I0	629346	122	0.0202	0.6793	0.5078	0.0042	
nsga150k4x	I0	627949	120	0.0152	0.6102	0.5103	0.0035	
nsga150k4x	I0	629496	127	0.0152	0.6646	0.5099	0.0038	
nsga150k4x	I0	626701	110	0.0303	0.6783	0.5198	0.0029	
nsga150k4x	I0	627667	102	0.0101	0.6075	0.5209	0.0032	
nsga150k4x	I0	628548	108	0.0253	0.5717	0.5171	0.0033	
nsga150k4x	I0	628598	123	0.0152	0.6167	0.5199	0.0027	
nsga150k4x	I0	626404	118	0.0152	0.6294	0.5172	0.0033	
nsga150k4x	I0	625532	101	0.0202	0.7743	0.5137	0.0072	
nsga150k4x	I0	628080	105	0.0051	0.6366	0.5081	0.0043	
nsga150k4x	I0	628827	135	0.0202	0.6313	0.5133	0.0033	
nsga150k4x	I0	629026	115	0.0303	0.6022	0.5114	0.0033	
nsga150k4x	I0	627309	103	0.0152	0.5978	0.5165	0.0029	
nsga150k4x	I0	629923	130	0.0303	0.6731	0.5106	0.0034	
nsga150k4x	I0	626259	113	0.0303	0.6322	0.5221	0.0029	
nsga150k4x	I0	627311	119	0.0354	0.6366	0.5191	0.0032	
nsga150k4x	I0	626187	100	0.0202	0.6045	0.5158	0.0033	
nsga150k4x	I0	627223	117	0.0253	0.6347	0.5140	0.0031	
nsga150k4x	I0	627682	125	0.0051	0.7135	0.5149	0.0031	
nsga150k4x	I0	627043	111	0.0051	0.6524	0.5144	0.0033	
nsga150k4x	I0	629460	109	0.0152	0.6082	0.5163	0.0035	
nsga150k4x	I0	627369	115	0.0051	0.6103	0.5143	0.0032	
nsga150k4x	I0	629720	120	0.0303	0.5932	0.5105	0.0031	
nsga150k4x	I0	629091	118	0.0051	0.6788	0.5088	0.0040	
nsga150k4x	I0	627308	123	0.0051	0.6286	0.5172	0.0034	
nsga150k4x	I0	628356	114	0.0303	0.6974	0.5209	0.0033	
nsga150k4x	I0	626703	115	0.0253	0.6228	0.5185	0.0029	
nsga150k4x	I0	630221	105	0.0707	0.6714	0.5204	0.0042	
nsga150k4x	I0	628370	118	0.0202	0.6672	0.5210	0.0025	
nsga150k4x	I0	629019	117	0.0202	0.6665	0.5227	0.0032	
nsga150k4x	I0	626133	129	0.0152	0.6729	0.5178	0.0028	
nsga150k4x	I1	3623558	154	0.0152	0.6249	0.5115	0.0023	
nsga150k4x	I1	3606755	131	0.0505	0.5691	0.5096	0.0025	
nsga150k4x	I1	3607364	131	0.0202	0.6156	0.5095	0.0025	
nsga150k4x	I1	3615309	138	0.0202	0.6423	0.5032	0.0024	
nsga150k4x	I1	3611777	149	0.0152	0.6060	0.5061	0.0024	
nsga150k4x	I1	3627930	150	0.0152	0.6843	0.5043	0.0025	
nsga150k4x	I1	3620428	129	0.0404	0.5645	0.5134	0.0023	
nsga150k4x	I1	3616826	142	0.0152	0.5656	0.5056	0.0026	
nsga150k4x	I1	3606718	127	0.0303	0.6844	0.5099	0.0024	
nsga150k4x	I1	3619640	133	0.0202	0.6268	0.5062	0.0027	
nsga150k4x	I1	3624982	126	0.0152	0.6306	0.5091	0.0025	
nsga150k4x	I1	3632278	155	0.0000	0.6144	0.4982	0.0026	
nsga150k4x	I1	3652445	125	0.0101	0.6457	0.5115	0.0024	
nsga150k4x	I1	3650121	118	0.0253	0.6131	0.5071	0.0025	
nsga150k4x	I1	3645818	135	0.0202	0.6727	0.5150	0.0025	
nsga150k4x	I1	3670260	142	0.0303	0.6289	0.5056	0.0027	
nsga150k4x	I1	3674120	133	0.0152	0.5994	0.5082	0.0024	
nsga150k4x	I1	3667066	135	0.0404	0.5903	0.5107	0.0022	
nsga150k4x	I1	3660066	152	0.0051	0.6060	0.5051	0.0026	
nsga150k4x	I1	3680047	152	0.0152	0.6428	0.5057	0.0024	
