inst	noh	mks	cst
OMET	69.5634	411.9	238139.5903
OMET	64.2287	416.6	237329.1171
OMET	47.82	433.0	235434.248
OMET	53.8218	426.9	236017.1749
OMET	73.3211	409.4	239096.7815
OMET	34.1686	446.2	233930.5483
OMET	47.3807	433.4	235390.6353
OMET	43.5575	437.5	235120.524
OMET	26.9531	454.3	233679.8958
OMET	65.7789	415.9	237886.759
OMET	39.6604	441.0	234597.3898
OMET	34.1235	446.8	234161.3143
OMET	114.0662	384.2	250849.3406
OMET	33.6759	446.9	233989.2077
OMET	83.0519	400.9	240708.3502
PARM	22.9179	405.3	207796.5607
PARM	21.0827	406.6	207366.8606
PARM	35.5121	391.4	208448.2119
PARM	81.1514	353.0	216543.9749
PARM	36.6951	390.1	208514.844
PARM	29.5035	398.1	208166.2308
PARM	17.7526	410.6	207382.1019
PARM	101.1998	343.3	223752.3675
PARM	99.3516	344.0	223031.9071
PARM	110.2957	342.3	228654.7962
PARM	65.2749	363.7	212332.2992
PARM	23.2356	404.9	207856.6944
PARM	71.9013	358.3	213772.0927
PARM	32.5418	394.4	208232.1194
PARM	81.161	352.7	216392.5697
PARM	59.3416	368.5	211180.7261
PARM	23.187	405.2	207946.7223
PARM	35.3938	392.7	208986.8393
PARM	63.7	365.1	212143.1263
PARM	16.6932	412.1	207448.5181
PARM	78.2815	354.2	215476.0447
PARM	51.1558	376.9	210524.5085
PARM	63.791	364.8	211986.9966
PARM	62.8937	366.2	212176.958
PARM	66.2244	363.4	212868.8932
PARM	91.1672	347.1	219681.3485
PARM	56.5687	372.6	211566.5051
PARM	54.9569	373.9	211274.1803
PARM	39.7753	388.4	209415.556
PARM	44.4784	382.6	209358.4682
PARM	27.716	400.6	208320.1917
PARM	50.5211	377.0	210154.7903
PARM	42.229	384.6	208976.9585
PARM	85.3779	350.4	217773.2409
PARM	49.9555	378.7	210678.2433
PARM	30.6936	396.3	208050.4822
PARM	78.4528	353.9	215393.3292
PARM	82.2925	352.5	216943.1191
PARM	43.6825	383.7	209423.9366
